,text,name,favourite_count,retweet_count,created_at
25,"RT @sugadboy: — Estoy harta de que no midan el peso de sus palabras, harta de que disfracen el racismo con “libertad de expresión”.
¿Hasta…",💛Mimin♥《🍁🍷》🌑🌻,0,2850,2021-06-18 00:36:20
26,"@mikeotr 40 años señor, y no sabe como pedir una disculpa apropiadamente. 0 profesional en su trabajo, una sola cosa tenía que hacer, y lo hizo de la peor forma posible. 

#RACISMISNOTCOMEDY
#ApologizeABCCOLOR 
#ApologizeMikeSilvero 
#DisculpateABCCOLOR 
#DisculpateMikeSilvero",ꦼ . ӄ օ ʄ ɨ . ଼ཻ៹۟ ᵗᵉᵗᵉ,1,0,2021-06-18 00:35:44
27,"RT @dooly_king: ""El prejuicio es hijo de la ignorancia."" — William Hazlitt

#DisculpateMikeSilvero
#DisculpateABCCOLOR
#ElRacismoNoEsLibert…",玛琳·康多,0,1863,2021-06-18 00:35:42
28,"EXIGIMOS UNA DISCULPA

#DisculpateMikeSilvero
#DisculpateABCCOLOR
#ElRacismoNoEsLibertadDeExpresion
#RacismIsNotFreedomOfExpression #ApologizeABCCOLOR",sha!,2,0,2021-06-18 00:35:20
29,"@HormonxGJk EXIGIMOS UNA DISCULPA

#DisculpateMikeSilvero
#DisculpateABCCOLOR
#ElRacismoNoEsLibertadDeExpresion
#RacismIsNotFreedomOfExpression #ApologizeABCCOLOR",sha!,0,0,2021-06-18 00:35:14
30,RT @My_Angel_52: @mikeotr Corrupto e ignorante aparte de racista #ApologizeABCCOLOR @ABCDigital nada mas ve el tipo de colaboradores que ti…,✧･ﾟ*Evelyn Alisson*ﾟ･✧,0,1,2021-06-18 00:34:25
31,"RT @rMwEJT7u0mOcd2t: @mikeotr Solo voy a decirte esto 
#RACISMISNOTCOMEDY #DisculpateMikeSilvero 
#DisculpateABCCOLOR https://t.co/ogpn9hps…",✧･ﾟ*Evelyn Alisson*ﾟ･✧,0,4,2021-06-18 00:33:38
32,"RT @MKTorres10: ARMY NO SE CANSARA HASTA RECIBIR UNA DISCULPA

#DisculpateMikeSilvero
#DisculpateABCCOLOR 
#ApologizeMikeSilvero 
#Apologiz…",☀🧈💛,0,271,2021-06-18 00:32:28
33,"RT @KathyBArmy: Llamar ""Monologo""

A Palabras Hirientes y Difamación. No es excusa para liberarse de una responsabilidad. Es Inaceptable

E…",☀🧈💛,0,253,2021-06-18 00:31:59
34,"@abiseokjinnie39 Totalmente de acuerdo, ellos ya pasaron por eso y no necesitan más opiniones de gente desinformada. Por eso...
EXIGIMOS UNA DISCULPA

#DisculpateMikeSilvero
#DisculpateABCCOLOR
#ElRacismoNoEsLibertadDeExpresion
#RacismIsNotFreedomOfExpression #ApologizeABCCOLOR",🌻«VHER22»🧈🇲🇽miaw,0,0,2021-06-18 00:31:12
35,"@mikeotr El siemple hecho de burlarse de una banda para provocar a su fandom es un error del que se tiene que disculpar.

#disculpateMikeservero
#DisculpateABCCOLOR",jungloves⁷☁️🧈,0,0,2021-06-18 00:28:23
36,"RT @jeonkimBangtan2: !!EXIGIMOS UNA DISCULPA!! 
 la xenofobia no es humor ni opinión !!! EXIGIMOS UNA DISCULPA!!!!! 

#ElRacismoNoEsLiberta…",⛓🖤KNKSMYJHPJKTJJ7🖤⛓,0,122,2021-06-18 00:27:26
37,"Son sólo 7 chicos que están cumpliendo sus sueños....pq el odio y las burlas? Ya deberían de aprender a RESPETARLOS
army y ellos an dejado claro eso muchas veces y exigimos una disculpa 

 #DisculpateMikeSilvero 
#DisculpateABCCOLOR https://t.co/xlnn2jQWmy",Ironm_an;)💙,1,0,2021-06-18 00:25:51
38,"RT @Jennseok18: Mi pregunta es, por qué las cuentas de este MALEDUCADO E IRRESPETUOSO, siguen como si nada?
  
#DisculpateMikeSilvero 
#RAC…",♡Vminyles♡³⁰🇨🇴,0,4,2021-06-18 00:24:58
39,"RT @pink_PORQUE: Ese periodista debería ir y darle 🧠 a cartes o algo más productivo, y esto es lo último que voy a decir del tema
#Disculpa…",B u t t e r 🇵🇾,0,1,2021-06-18 00:24:58
40,"RT @MariaJosAlfons2: Dejo esto por aquí, véanlo hasta el final y compartan con sus amigos.
#DisculpateABCCOLOR 
#DisculpateMikeSilvero 
@BT…",JKFOREVERMYLOVE13.06.2013♡♡☆,0,1,2021-06-18 00:24:52
41,"RT @abiseokjinnie39: no nos debemos callar antes las injusticias que sufren dia a dia, EXIGIMOS UNA DISCULPA PUBLICA
#DisculpateMikeSilvero…",Army💜💜,0,765,2021-06-18 00:23:45
42,"RT @StephArmyH: Quieren respeto pero no aprende a respetar el trabajo duro de los demás.

EXIGIMOS UNA DISCULPA! 
#DisculpateMikeSilvero #D…",☀🧈💛,0,36,2021-06-18 00:23:26
43,"Estoy tan llena de rabia gran 7
#ApologizeABCCOLOR #DisculpateABCCOLOR",foreverinmyheart🇵🇾,0,0,2021-06-18 00:23:16
44,"@alven_beba Exigimos una disculpa YA !!! 

#DisculpateMikeSilvero
#DisculpateABCCOLOR
#ElRacismoNoEsLibertadDeExpresion
#RacismIsNotFreedomOfExpression #ApologizeABCCOLOR",k.m.armyforever,0,0,2021-06-18 00:21:33
45,"RT @ChimmySun: JIMIN Y Becky g dijeron : La gente que crítica simplemente me da pena. 

La Rap líne dijeron : Ustedes, envidioso, resentido…",PiadelaSilva,0,111,2021-06-18 00:20:02
46,"¿Quien se apunta para un viaje a Paraguay y visitar la ""empresa"" esta y al señor y dialogar😀?
#DisculpateABCCOLOR 
#DisculpateMikeSilvero https://t.co/1MmviQJt9h",Mily🐥,1,0,2021-06-18 00:19:03
47,"RT @ChimmySun: Una vez que k-army hace lo posible para que todo llegue a las noticias coreanas, los que causaron dichos problemas ya no tie…",Car.tae,0,51,2021-06-18 00:17:42
48,"RT @abiseokjinnie39: no nos debemos callar antes las injusticias que sufren dia a dia, EXIGIMOS UNA DISCULPA PUBLICA
#DisculpateMikeSilvero…",국이⁷,0,765,2021-06-18 00:16:41
49,@jjkcakees Yo : como Army y como sociedad pido su despido y exhortó a los medios que hagan limpia de gente como esa #ApologizeMikeSilvero #ApologizeABCCOLOR #ApologizeABCCOLOR #DisculpateMikeSilvero #DisculpateABCCOLOR 😡😡😡😡😡😡😡😡😡😡,Meri,1,0,2021-06-18 00:15:19
50,"EXIGIMOS DISCULPAS

#DisculpateMikeSilvero
#DisculpateABCCOLOR
#ElRacismoNoEsLibertadDeExpresion
#RacismIsNotFreedomOfExpression
#ApologizeMikeSilvero 
#NUNCAMASSOMOSGEN 
#ApologizeABCCOLOR",Tais,0,0,2021-06-18 00:14:31
51,RT @Anya78430804: Si vi que Mike silvero se disculpó pero lo hizo como que obligado y con fastidio  ……. QUEREMOS UNA VERDADERA DISCULPA !!!…,ᒍᙀᙁᘜᙖᒐᙀᙓ ᴮᴱ,0,3,2021-06-18 00:13:28
52,"RT @Andrea83363055: #DisculpateMikeSilvero
#DisculpateABCCOLOR 
Las armys pedimos ""RESPETO""  para BTS pero nadie entiende lo que es el ""RES…",Monica ;),0,3,2021-06-18 00:13:19
53,"RT @taechimx: porque la tecnología avanza y el humano no? EXIGIMOS UNA DISCULPA

#DisculpateMikeSilvero
#DisculpateABCCOLOR
#ElRacismoNoEsL…",☺︎ 𝑏𝑟𝑒𝑛𝑑𝑖 ⁶¹³,0,2737,2021-06-18 00:13:03
54,"Eso no fue una disculpa... Si pudo hacer un gran monologo porque no una buena disculpa...
#DisculpateMikeSilvero
#ApologizeMikeSilvero
#RACISMISNOTCOMEDY
#DisculpateABCCOLOR 
#ApologizeABCCOLOR https://t.co/fX4OuIltrH https://t.co/ZpuhrtueJN",Marlene Kim,0,0,2021-06-18 00:09:00
55,"Boe,che que hincha pelotas sos digo...Tanto te cuesta aceptar un error

#DisculpateABCCOLOR https://t.co/adyaOZb9XI",Mily🐥,0,0,2021-06-18 00:08:57
56,"RT @Solarami10: Se le hizo una entrevista a una army paraguaya #DisculpateMikeSilvero 
#DisculpateABCCOLOR
#ApologizeABCCOLOR https://t.co/…",Jessica Macuyama Pac,0,235,2021-06-18 00:08:13
57,"Señor debe de dar unas disculpas...
#DisculpateMikeSilvero
#ApologizeMikeSilvero
#RACISMISNOTCOMEDY
#DisculpateABCCOLOR 
#ApologizeABCCOLOR https://t.co/fX4OuIltrH https://t.co/nucLJN7pJH",Marlene Kim,2,0,2021-06-18 00:07:26
58,"RT @H0biXsprite_uwu: @NguyenKhuyen_tw @thanh01112002 EXIGIMOS UNA DISCULPA

#DisculpateMikeSilvero
#DisculpateABCCOLOR
#ElRacismoNoEsLibert…",Melys 🇩🇴,0,2,2021-06-18 00:04:57
59,"RT @teresaalvaro7: #ApologizeABCCOLOR 
#DisculpateABCCOLOR 
#DisculpateMikeSilvero 
No puedo ni razonar x que existe gente como el innombra…",Melys 🇩🇴,0,1,2021-06-18 00:04:53
60,"RT @jhopecatz: abc: su éxito es manipulado 
bts en 2019: 

#DisculpateABCCOLOR https://t.co/RyGnH3jQ7r",Celia⁷ 🧚🏼‍♀️,0,6423,2021-06-18 00:03:39
61,"RT @jhopecatz: abc: su éxito es manipulado 
bts en 2019: 

#DisculpateABCCOLOR https://t.co/RyGnH3jQ7r",Jλϻι,0,6423,2021-06-18 00:03:07
